course_title,published_subject,level,price,content_duration,rating,num_reviews,is_paid,published
"Complete Python Bootcamp: Go from Zero to Hero Programming","Development","Beginner",84.99,22.0,4.6,281896,TRUE,2017-02-11
"Web Developer Bootcamp with HTML, CSS, JS","Web Development","Beginner",129.99,60.0,4.6,206877,TRUE,2015-09-30
"The Complete JavaScript Course 2024: From Zero to Expert!","Development","All Levels",119.99,68.0,4.7,111854,TRUE,2015-08-02
"The Web Developer Bootcamp 2024","Web Development","All Levels",139.99,65.0,4.7,86364,TRUE,2015-09-30
"Python for Data Science and Machine Learning Bootcamp","Data Science","Intermediate",129.99,25.0,4.6,48818,TRUE,2019-01-11
"React - The Complete Guide (incl Hooks, React Router, Redux)","Development","All Levels",149.99,48.0,4.7,183542,TRUE,2016-08-15
"Angular - The Complete Guide (2024 Edition)","Development","Intermediate",179.99,35.0,4.6,72758,TRUE,2016-08-20
"The Complete 2024 Web Development Bootcamp","Web Development","Beginner",144.99,62.0,4.7,982588,TRUE,2018-10-31
"Machine Learning A-Z™: AI, Python & R + ChatGPT Prize [2024]","Data Science","Beginner",149.99,43.0,4.5,79385,TRUE,2016-12-28
"The Complete Node.js Developer Course (3rd Edition)","Backend Development","Intermediate",169.99,34.5,4.7,245873,TRUE,2015-10-02
"100 Days of Code: The Complete Python Pro Bootcamp","Python","Beginner",124.99,64.0,4.8,390588,TRUE,2020-01-02
"iOS 13 & Swift 5: Make 15+ Real iOS Apps (2019)","Mobile Development","Intermediate",139.99,33.0,4.8,25166,TRUE,2019-09-25
"The Complete 2024 Flutter Development Bootcamp with Dart","Mobile Development","Beginner",149.99,28.0,4.7,27464,TRUE,2020-01-22
"Java 17 Masterclass: +15 Real-World Projects [ NEW 2024 ]","Java","All Levels",129.99,82.0,4.6,20252,TRUE,2021-07-22
"Automate the Boring Stuff with Python Programming","Python","Beginner",0.0,9.5,4.6,32887,FALSE,2015-11-10
"Git & GitHub - The Practical Guide","DevOps","Beginner",59.99,4.0,4.7,16088,TRUE,2020-01-10
"Docker and Kubernetes: The Complete Guide","DevOps","All Levels",149.99,21.5,4.7,57073,TRUE,2019-03-14
"Python Django - The Practical Guide","Backend Development","Intermediate",119.99,20.0,4.7,6898,TRUE,2020-05-16
"React Native - The Practical Guide [2024 Edition]","Mobile Development","Intermediate",149.99,18.0,4.7,15117,TRUE,2020-02-19
"Go: The Complete Developer's Guide (Golang)","Backend Development","Intermediate",109.99,9.0,4.6,22337,TRUE,2017-11-11
"Understanding TypeScript - 2024 Edition","TypeScript","Intermediate",99.99,15.0,4.6,33864,TRUE,2016-07-31
